PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
8/16/2014,73,66,59,61,58,57,97,79,61,30.05,30.01,29.96,10,10,10,25,11,29,0,4,,304<br />
8/17/2014,72,65,57,59,57,55,97,79,61,30.04,29.99,29.93,10,10,10,28,12,31,0,5,,287<br />
8/18/2014,70,65,60,58,57,56,90,78,66,29.93,29.88,29.84,10,10,7,24,11,32,0,6,,265<br />
8/19/2014,75,68,60,59,58,57,90,74,57,29.88,29.85,29.81,10,10,8,17,7,25,0,5,,212<br />
8/20/2014,73,68,62,59,58,57,84,73,61,29.94,29.9,29.86,10,10,10,24,9,29,0,3,,204<br />
8/21/2014,74,68,61,61,59,57,97,81,64,29.97,29.93,29.91,10,10,10,25,10,30,0,2,,275<br />
8/22/2014,77,68,59,61,58,55,97,77,56,29.95,29.93,29.91,10,10,10,25,9,30,0,2,,276<br />
8/23/2014,75,66,57,59,56,54,93,72,50,29.96,29.91,29.86,10,10,10,14,6,24,0,2,,281<br />
8/24/2014,75,67,58,59,56,54,87,72,57,29.91,29.87,29.83,10,10,10,22,10,25,0,3,,264<br />
8/25/2014,74,68,61,57,56,54,84,69,53,29.96,29.89,29.86,10,10,10,20,8,25,0,4,,218<br />
8/26/2014,74,67,59,58,56,54,84,71,57,30.02,29.98,29.95,10,10,10,23,11,28,0,1,,283<br />
8/27/2014,74,67,60,61,59,58,90,76,61,30.07,30.03,30,10,10,10,26,12,30,0,1,,295<br />
8/28/2014,74,67,59,61,59,57,97,79,61,30.08,30.03,29.94,10,10,10,30,12,33,0,3,,293<br />
8/29/2014,71,66,60,61,60,57,97,83,68,29.98,29.93,29.89,10,10,9,25,10,32,0,6,,288<br />
8/30/2014,80,72,63,61,59,55,93,69,45,29.93,29.9,29.86,10,10,10,29,16,36,0,3,,282<br />
8/31/2014,75,69,62,60,58,55,90,74,57,29.94,29.89,29.85,10,10,10,26,12,31,0,1,,289<br />
9/1/2014,83,72,60,64,59,55,90,65,40,29.86,29.82,29.75,10,10,9,24,10,29,0,0,,304<br />
9/2/2014,74,67,60,60,58,57,90,76,61,29.86,29.81,29.78,10,10,9,23,11,26,0,1,,279<br />
9/3/2014,76,68,60,61,58,55,90,75,60,29.81,29.76,29.7,10,10,10,21,9,50,0,4,,265<br />
9/4/2014,76,68,60,62,58,57,90,74,58,29.81,29.75,29.72,10,10,9,17,7,20,0,4,,287<br />
9/5/2014,75,68,60,60,57,55,90,72,54,29.92,29.87,29.81,10,10,7,20,8,23,0,4,,279<br />
9/6/2014,72,66,59,58,55,54,87,72,57,29.97,29.93,29.9,10,9,8,21,9,25,0,4,,275<br />
9/7/2014,71,64,57,55,54,54,86,72,57,29.92,29.87,29.82,10,10,10,25,12,30,0,2,,270<br />
9/8/2014,68,63,58,54,53,52,80,69,58,29.96,29.9,29.86,10,10,10,24,12,29,0,3,,263<br />
9/9/2014,71,65,59,57,56,54,93,78,63,30.01,29.95,29.91,10,10,9,23,11,28,0,4,,280<br />
9/10/2014,82,69,56,63,58,52,97,72,47,29.96,29.91,29.82,10,8,0,24,9,29,0,2,Fog,260<br />
9/11/2014,79,69,59,62,58,56,93,74,54,29.91,29.87,29.82,10,10,10,28,12,31,0,1,,301<br />
9/12/2014,75,67,58,60,58,57,93,75,57,29.91,29.85,29.79,10,10,10,29,13,32,0,2,,300<br />
9/13/2014,75,68,60,60,58,57,90,74,57,29.86,29.82,29.78,10,10,10,26,13,32,0,3,,301<br />
9/14/2014,74,67,59,61,58,55,90,74,57,29.86,29.84,29.8,10,10,9,22,12,25,0,2,,290<br />
9/15/2014,78,70,62,61,58,54,90,66,42,29.94,29.9,29.85,10,10,10,21,12,25,0,2,,280<br />
9/16/2014,81,72,62,63,60,56,93,69,45,29.94,29.88,29.82,10,10,10,23,10,28,0,3,,275<br />
9/17/2014,82,72,62,66,60,55,90,66,42,29.83,29.79,29.74,10,10,10,25,10,32,T,3,Rain,215<br />
9/18/2014,80,72,64,66,64,62,93,76,58,29.9,29.84,29.78,10,10,8,18,7,22,0.01,5,Rain,221<br />
9/19/2014,74,69,63,63,62,61,93,81,68,29.93,29.89,29.86,10,10,10,22,11,28,0,3,,289<br />
9/20/2014,77,71,64,63,61,59,93,77,60,29.96,29.92,29.89,10,10,9,21,8,24,0,5,,290<br />
9/21/2014,72,69,65,61,60,59,84,76,68,30.02,29.99,29.94,10,10,10,20,9,24,0,7,,252<br />
9/22/2014,78,72,65,61,59,58,81,66,50,30.04,30,29.97,10,10,10,26,13,31,0,4,,273<br />
9/23/2014,77,71,65,65,62,59,87,76,64,30.02,29.97,29.93,10,10,9,23,11,26,T,4,,271<br />
9/24/2014,80,72,64,65,64,62,93,78,62,29.97,29.93,29.88,10,9,4,21,9,25,T,7,Rain,225<br />
9/25/2014,74,68,61,61,59,57,97,77,57,30.02,29.97,29.92,10,8,2,17,6,26,0.41,6,Rain,278<br />
9/26/2014,74,68,62,61,59,57,93,75,57,30.01,29.97,29.92,10,10,10,28,13,33,0,3,,274<br />
9/27/2014,73,68,63,59,58,57,90,76,61,29.93,29.89,29.84,10,10,10,26,13,32,0,4,,259<br />
9/28/2014,76,69,61,61,58,57,90,76,61,29.97,29.89,29.83,10,10,10,18,8,24,0,5,,262<br />
9/29/2014,71,66,60,59,58,57,90,78,66,30.04,30,29.97,10,10,9,24,12,30,0,4,,275<br />
9/30/2014,75,69,62,60,58,55,90,72,54,30,29.94,29.85,10,10,9,22,12,24,0,4,,276<br />
10/1/2014,86,73,60,59,51,40,84,52,19,29.99,29.91,29.85,10,10,9,21,6,26,0,1,,271<br />
10/2/2014,91,76,61,55,47,42,67,43,18,30.04,29.99,29.94,10,10,10,15,2,17,0,0,,306<br />
10/3/2014,95,81,66,66,53,41,73,46,19,30.09,30.04,29.99,10,10,10,21,5,23,0,0,,344<br />
10/4/2014,92,78,64,64,51,40,73,46,18,30.04,29.99,29.92,10,10,10,21,7,24,0,1,,305<br />
10/5/2014,87,74,60,64,56,45,84,61,37,29.97,29.92,29.87,10,10,10,28,9,31,0,1,,299<br />
10/6/2014,83,71,58,64,58,55,93,67,40,29.94,29.9,29.84,10,9,6,21,11,26,0,2,,304<br />
10/7/2014,73,66,59,58,57,55,87,70,53,29.95,29.9,29.85,10,10,10,28,14,32,0,3,,298<br />
10/8/2014,78,68,58,61,57,55,93,69,45,29.93,29.89,29.85,10,10,9,28,11,33,0,1,,294<br />
10/9/2014,68,64,59,58,57,55,93,81,68,30.01,29.96,29.92,10,10,10,23,13,25,0,3,,297<br />
10/10/2014,69,64,59,57,56,54,90,77,63,30.08,30.03,30,10,10,10,25,13,30,0,6,,281<br />
10/11/2014,76,68,59,60,56,53,90,70,49,30.07,30.02,29.97,10,10,10,26,8,30,0,4,,302<br />
10/12/2014,91,75,59,62,49,32,87,50,13,29.99,29.95,29.89,10,10,10,17,4,20,0,0,,274<br />
10/13/2014,88,76,63,64,54,44,78,52,26,29.97,29.93,29.9,10,10,10,15,5,18,0,1,,308<br />
10/14/2014,74,69,63,59,57,56,84,71,57,29.95,29.88,29.83,10,10,9,30,12,38,0,5,,177<br />
10/15/2014,76,69,62,59,58,55,84,69,53,30.03,29.98,29.86,10,10,10,25,10,30,T,6,Rain,233<br />
10/16/2014,73,66,58,56,53,49,84,63,41,30.04,29.99,29.94,10,10,10,15,5,18,0,4,,269<br />
10/17/2014,77,67,57,59,53,47,67,54,41,29.98,29.95,29.92,10,10,10,17,6,22,0,5,,176<br />
10/18/2014,79,72,65,62,59,56,87,68,48,29.99,29.94,29.89,10,10,10,20,6,23,0,2,,305<br />
10/19/2014,74,68,61,62,60,58,90,77,64,29.93,29.9,29.86,10,10,10,20,8,23,0,2,,291<br />
10/20/2014,72,67,62,63,58,56,84,71,57,30.07,29.97,29.91,10,9,2,18,8,22,0.03,5,Rain,247<br />
10/21/2014,72,64,56,57,54,48,90,67,44,30.12,30.07,30.03,10,10,10,23,9,26,0,2,,292<br />
10/22/2014,74,66,57,60,56,50,84,69,53,30.09,30.05,30.02,10,10,10,18,6,22,0,4,,285<br />
10/23/2014,74,69,63,62,60,57,93,75,57,30.08,30.02,29.97,10,10,10,14,6,17,0,4,,288<br />
10/24/2014,73,67,60,61,58,55,87,74,61,29.98,29.94,29.89,10,10,10,24,8,30,0,3,,154<br />
10/25/2014,73,68,63,61,58,55,87,72,57,30.15,30.02,29.89,10,9,4,26,11,32,0.1,6,Rain,189<br />
10/26/2014,70,64,58,58,53,46,90,67,44,30.18,30.13,30.06,10,10,8,23,10,32,0,2,,296<br />
10/27/2014,70,63,56,55,53,49,86,67,47,30.07,30.05,30.02,10,10,10,21,9,25,0,2,,271<br />
10/28/2014,71,63,55,60,54,49,100,73,45,30.13,30.09,30.06,10,10,10,21,8,24,0,1,,265<br />
10/29/2014,80,71,61,61,54,48,87,62,37,30.12,30.05,29.97,10,10,10,14,3,15,0,2,,311<br />
10/30/2014,74,67,60,61,57,52,90,74,57,29.96,29.92,29.88,10,10,10,18,6,22,0,5,,252<br />
10/31/2014,64,61,58,59,56,52,93,83,72,29.91,29.84,29.74,10,9,2,18,8,22,0.18,7,Rain,229<br />
11/1/2014,65,60,55,54,52,49,93,77,60,30.04,29.9,29.75,10,10,10,25,10,31,T,4,,263<br />
11/2/2014,66,58,49,52,49,44,89,69,48,30.17,30.13,30.05,10,10,10,22,6,25,0,1,,288<br />
11/3/2014,69,60,50,56,51,45,93,73,53,30.27,30.22,30.17,10,10,10,21,7,23,0,4,,267<br />
11/4/2014,72,61,50,56,53,51,100,75,49,30.33,30.27,30.23,10,10,10,16,4,20,0,2,,279<br />
11/5/2014,76,65,54,57,54,51,93,68,43,30.23,30.14,30.07,10,10,10,12,2,14,0,2,,300<br />
11/6/2014,74,65,56,61,57,50,97,79,61,30.23,30.19,30.14,10,10,10,23,9,28,0,3,,286<br />
11/7/2014,70,62,54,61,58,53,100,87,73,30.23,30.17,30.1,10,8,1,21,6,24,0,3,Fog,298<br />
11/8/2014,75,65,54,61,56,53,100,75,49,30.13,30.07,30,10,8,1,18,3,22,0,3,Fog,274<br />
11/9/2014,69,61,53,60,56,52,100,87,73,30.02,29.93,29.83,10,7,0,24,8,28,0,2,Fog,293<br />
11/10/2014,68,61,53,59,56,51,100,82,63,29.85,29.82,29.8,10,7,0,15,5,18,0,4,Fog,250<br />
11/11/2014,67,61,54,54,51,49,86,69,52,29.98,29.92,29.86,10,10,10,17,7,21,0,6,,201<br />
11/12/2014,67,62,57,55,49,46,72,60,48,30.03,29.99,29.97,10,9,2,15,5,18,0.15,7,Rain,219<br />
11/13/2014,67,62,56,61,58,55,100,87,73,30.08,30.01,29.92,10,9,2,15,9,31,0.25,6,Rain,240<br />
11/14/2014,66,61,56,57,56,54,100,87,73,30.11,30.09,30.06,10,10,9,18,10,22,0,4,,277<br />
11/15/2014,66,60,54,56,55,52,93,78,63,30.19,30.14,30.09,10,10,10,18,9,23,0,2,,287<br />
11/16/2014,63,60,56,54,38,28,86,57,27,30.26,30.22,30.17,10,10,10,24,9,26,0,5,,48<br />
11/17/2014,66,58,50,49,43,34,77,56,34,30.25,30.17,30.11,10,10,10,17,6,18,0,3,,97<br />
11/18/2014,64,58,51,51,46,40,77,65,52,30.14,30.1,30.05,10,10,10,10,2,14,0,6,,102<br />
11/19/2014,64,60,56,61,56,47,100,80,60,30.14,30.05,30,10,9,1,21,7,28,0.12,7,Rain,181<br />
11/20/2014,60,57,53,57,55,52,100,88,75,30.12,30.06,29.99,10,9,2,14,4,25,0.2,7,Rain,161<br />
11/21/2014,61,58,54,56,54,52,100,86,72,30.13,30.09,30.03,10,10,8,12,4,20,0,7,,89<br />
11/22/2014,65,60,55,64,59,49,100,89,77,30.25,30.12,30.06,10,8,1,26,12,33,0.15,6,Rain,247<br />
11/23/2014,66,58,49,51,48,45,89,69,48,30.35,30.3,30.25,10,10,10,14,4,24,0,2,,302<br />
11/24/2014,66,57,47,49,45,37,93,65,37,30.42,30.37,30.33,10,10,10,13,2,23,0,1,,306<br />
11/25/2014,65,57,49,51,48,45,93,75,56,30.46,30.39,30.33,10,10,10,8,1,22,0,1,,117<br />
11/26/2014,68,59,49,53,50,46,96,77,58,30.32,30.26,30.2,10,9,7,10,2,17,0,1,,118<br />
11/27/2014,64,57,50,56,53,49,100,86,72,30.19,30.12,30.06,10,7,4,15,4,17,0,3,,314<br />
11/28/2014,63,55,46,55,50,43,100,86,72,30.06,29.98,29.86,10,5,0,14,5,20,0,5,Fog,145<br />
11/29/2014,65,61,57,59,58,55,100,89,78,29.86,29.81,29.75,10,9,5,13,7,15,0.08,7,Rain,124<br />
11/30/2014,62,58,53,60,56,50,100,92,83,30.02,29.87,29.74,10,9,3,23,6,29,1.04,7,Rain,64<br />
12/1/2014,64,61,57,59,58,57,100,92,84,30.11,30.04,29.95,10,10,5,16,4,18,T,6,Rain,44<br />
12/2/2014,62,59,56,59,57,55,100,95,90,29.94,29.77,29.68,10,8,2,22,10,25,1.59,7,Rain,92<br />
12/3/2014,66,63,59,61,60,58,100,89,78,29.88,29.75,29.7,10,7,1,32,10,39,1.89,8,Rain-Thunderstorm,139<br />
12/4/2014,67,63,58,61,59,57,100,87,73,30.02,29.95,29.88,10,8,0,13,5,16,0.1,6,Fog-Rain,125<br />
12/5/2014,67,63,58,61,60,57,100,87,73,30.08,30.01,29.97,10,8,2,16,6,20,0.14,7,Rain,119<br />
12/6/2014,67,63,58,63,60,58,100,89,78,30.22,30.17,30.08,10,9,4,12,4,15,0.09,7,Rain,107<br />
12/7/2014,64,59,54,61,58,54,100,89,78,30.22,30.18,30.12,10,8,2,15,2,18,0,6,,193<br />
12/8/2014,68,62,56,61,58,55,100,89,78,30.18,30.15,30.12,10,10,8,10,3,12,0,6,,85<br />
12/9/2014,63,60,57,61,59,57,100,95,90,30.21,30.15,30.08,10,7,0,9,2,12,0,7,Fog,49<br />
12/10/2014,65,62,58,59,58,55,100,89,78,30.07,29.9,29.72,10,8,3,24,11,32,T,8,Rain,132<br />
12/11/2014,67,59,51,61,55,48,100,87,73,29.69,29.62,29.51,10,6,2,37,12,48,3.43,8,Rain,179<br />
12/12/2014,58,55,51,53,51,49,100,89,77,30.08,29.88,29.67,10,9,5,10,4,13,0.38,7,Rain,158<br />
12/13/2014,56,52,48,52,49,46,100,89,77,30.23,30.17,30.09,10,10,8,12,2,14,0,5,,100<br />
12/14/2014,61,55,49,55,50,48,93,83,72,30.14,30.06,29.98,10,10,6,14,6,18,0.14,7,Rain,107<br />
12/15/2014,63,58,52,55,53,51,100,97,93,29.97,29.88,29.83,10,8,2,29,12,33,1.37,8,Rain,122<br />
12/16/2014,63,57,50,55,51,45,100,83,65,29.95,29.9,29.82,10,9,5,26,9,36,0.84,6,Rain,154<br />
12/17/2014,60,55,50,54,51,48,100,84,67,30.08,30.03,29.95,10,9,5,20,6,24,0.21,7,Rain,154<br />
12/18/2014,60,56,52,55,52,50,100,88,75,30.19,30.12,30.06,10,10,6,12,3,14,0.02,7,Rain,130<br />
12/19/2014,59,57,55,58,56,52,100,90,80,30.16,30.13,30.1,10,7,1,14,5,21,0.38,8,Rain,110<br />
12/20/2014,62,59,56,59,57,53,100,89,78,30.25,30.18,30.12,10,7,2,9,3,10,0.02,7,Rain,123<br />
12/21/2014,63,61,58,61,60,59,100,97,93,30.32,30.28,30.25,10,8,2,24,11,29,0.02,7,Rain,274<br />
12/22/2014,65,60,54,59,57,54,100,92,84,30.3,30.24,30.18,10,8,0,17,4,20,0,3,Fog,288<br />
12/23/2014,68,60,51,58,55,52,100,82,63,30.23,30.17,30.12,10,10,10,15,4,17,0,1,,279<br />
12/24/2014,62,55,48,58,51,40,100,82,63,30.11,30.05,29.97,10,9,2,33,12,43,0.04,5,Rain,270<br />
12/25/2014,58,52,46,41,37,34,71,56,40,30.15,30.11,30.07,10,10,10,23,13,28,0,0,,323<br />
12/26/2014,59,52,44,40,36,33,65,54,43,30.27,30.19,30.12,10,10,10,25,12,30,0,0,,3<br />
12/27/2014,56,49,42,42,38,35,80,64,47,30.38,30.34,30.27,10,10,10,14,4,15,0,3,,129<br />
12/28/2014,57,50,43,51,45,41,93,77,61,30.37,30.3,30.23,10,10,10,13,4,16,0,2,,240<br />
12/29/2014,55,50,44,49,44,38,93,76,59,30.24,30.18,30.11,10,10,9,25,9,33,0,3,,305<br />
12/30/2014,55,51,47,44,33,26,86,62,38,30.25,30.17,30.11,10,10,10,43,24,51,0,1,,2<br />
12/31/2014,58,50,41,37,27,18,70,47,24,30.27,30.18,30.08,10,10,10,35,11,43,0,1,,2<br />
